Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score
1001,10-10-2022,2,5,5
1002,03-08-2023,4,5,3
1003,03-01-2023,2,5,2
1004,30-07-2023,3,5,3
1005,19-06-2023,2,4,5
1006,03-05-2023,5,2,1
1007,18-07-2023,2,1,5
1008,21-06-2023,5,2,2
1009,06-06-2023,2,5,1
1010,15-09-2022,2,4,2
1011,08-12-2022,1,2,3
1012,13-01-2023,3,5,4
1013,13-12-2022,5,4,3
1014,28-06-2023,4,4,1
1015,11-07-2023,1,1,3
1016,09-12-2022,2,3,2
1017,16-07-2023,4,1,3
1018,21-06-2023,4,1,4
1019,21-06-2023,1,3,5
1020,01-08-2023,2,1,2
1021,09-03-2023,5,1,4
1022,12-02-2023,1,4,4
1023,17-01-2023,4,4,3
1024,12-10-2022,5,3,1
1025,24-01-2023,4,1,4
1026,09-10-2022,5,2,5
1027,05-04-2023,2,3,5
1028,26-03-2023,5,5,4
1029,07-11-2022,3,5,4
1030,03-01-2023,4,4,1
1031,27-02-2023,5,3,2
1032,22-05-2023,5,4,4
1033,02-07-2023,3,1,3
1034,09-07-2023,2,5,1
1035,19-07-2023,1,5,5
1036,09-08-2022,5,2,1
1037,25-11-2022,5,1,4
1038,10-03-2023,5,1,2
1039,03-12-2022,2,4,5
1040,27-09-2022,5,3,1
1041,19-01-2023,3,1,4
1042,17-02-2023,1,3,4
1043,25-02-2023,1,1,3
1044,26-11-2022,2,4,5
1045,08-08-2022,1,4,1
1046,18-02-2023,3,5,4
1047,12-05-2023,4,2,3
1048,19-10-2022,3,1,4
1049,27-07-2023,3,5,2
1050,03-07-2023,4,5,1
1051,01-01-2023,2,4,5
1052,19-11-2022,1,4,4
1053,12-10-2022,2,1,4
1054,05-07-2023,1,5,2
1055,23-09-2022,3,4,1
1056,17-01-2023,4,2,2
1057,12-03-2023,3,2,5
1058,06-03-2023,4,2,1
1059,29-03-2023,4,3,3
1060,01-07-2023,5,5,4
1061,05-02-2023,3,3,1
1062,03-01-2023,3,2,1
1063,25-07-2023,5,2,4
1064,14-12-2022,5,4,4
1065,20-01-2023,5,3,4
1066,15-07-2023,4,3,5
1067,10-06-2023,3,2,5
1068,09-10-2022,3,2,2
1069,04-02-2023,3,1,2
1070,05-03-2023,3,1,2
1071,15-05-2023,1,2,2
1072,18-02-2023,2,2,3
1073,16-02-2023,4,4,2
1074,10-02-2023,3,4,1
1075,10-04-2023,1,2,3
1076,11-04-2023,1,3,1
1077,12-10-2022,5,2,4
1078,28-07-2023,3,3,4
1079,08-10-2022,2,2,1
1080,04-03-2023,3,1,3
1081,03-03-2023,1,3,3
1082,27-02-2023,1,4,1
1083,09-01-2023,5,5,3
1084,19-02-2023,1,2,4
1085,09-01-2023,5,5,3
1086,14-03-2023,1,1,5
1087,03-05-2023,1,5,2
1088,20-04-2023,4,3,1
1089,19-04-2023,3,1,5
1090,16-05-2023,4,3,4
1091,22-04-2023,2,4,3
1092,08-03-2023,1,4,1
1093,05-03-2023,3,1,4
1094,22-01-2023,5,4,5
1095,17-03-2023,1,2,1
1096,17-12-2022,1,3,2
1097,31-10-2022,1,2,5
1098,28-12-2022,2,2,2
1099,04-08-2023,1,5,5
1100,10-09-2022,1,4,5
1101,21-03-2023,1,1,3
1102,02-03-2023,5,1,4
1103,06-11-2022,5,3,1
1104,21-12-2022,1,4,2
1105,15-02-2023,1,4,1
1106,31-01-2023,2,3,3
1107,18-10-2022,4,5,1
1108,24-07-2023,4,5,3
1109,16-10-2022,4,5,4
1110,23-02-2023,1,1,4
1111,11-05-2023,4,1,1
1112,06-07-2023,4,1,1
1113,09-04-2023,3,3,5
1114,03-03-2023,1,3,3
1115,11-03-2023,4,1,3
1116,16-12-2022,3,4,4
1117,29-07-2023,4,5,1
1118,22-02-2023,1,5,3
1119,16-04-2023,4,4,5
1120,05-06-2023,3,3,4
1121,21-01-2023,1,1,4
1122,04-12-2022,2,1,2
1123,10-06-2023,2,3,1
1124,27-02-2023,3,2,3
1125,17-03-2023,4,3,4
1126,23-04-2023,3,3,2
1127,27-01-2023,5,1,3
1128,18-02-2023,4,2,4
1129,31-10-2022,1,1,1
1130,07-05-2023,1,5,4
1131,11-05-2023,4,4,4
1132,15-07-2023,1,5,5
1133,15-06-2023,1,2,4
1134,29-12-2022,4,1,2
1135,23-02-2023,5,4,4
1136,09-04-2023,2,5,2
1137,12-11-2022,3,3,5
1138,19-10-2022,4,5,1
1139,27-08-2022,2,4,2
1140,04-05-2023,5,3,2
1141,26-12-2022,5,5,2
1142,21-06-2023,4,4,4
1143,13-12-2022,2,4,2
1144,03-11-2022,5,3,2
1145,24-10-2022,3,3,4
1146,21-09-2022,3,2,2
1147,19-03-2023,1,3,5
1148,02-04-2023,4,1,3
1149,03-11-2022,3,2,5
1150,28-12-2022,3,4,4
1151,12-12-2022,5,3,1
1152,14-12-2022,1,1,5
1153,28-02-2023,3,4,2
1154,09-06-2023,1,3,2
1155,25-08-2022,2,3,1
1156,12-05-2023,1,5,2
1157,06-06-2023,1,4,2
1158,17-03-2023,2,4,4
1159,18-02-2023,1,2,4
1160,20-08-2022,4,2,3
1161,09-04-2023,3,4,4
1162,05-10-2022,3,3,2
1163,14-12-2022,1,2,3
1164,23-10-2022,5,5,5
1165,09-01-2023,3,3,1
1166,27-02-2023,2,1,4
1167,22-05-2023,2,3,4
1168,28-08-2022,2,2,2
1169,03-08-2023,1,3,2
1170,05-02-2023,1,5,4
1171,24-06-2023,4,1,4
1172,19-06-2023,1,3,2
1173,16-06-2023,5,5,2
1174,06-03-2023,2,1,5
1175,22-04-2023,2,1,2
1176,17-10-2022,2,2,5
1177,12-08-2022,2,2,5
1178,03-05-2023,2,1,2
1179,10-07-2023,3,5,1
1180,15-05-2023,4,3,1
1181,05-07-2023,5,5,4
1182,25-08-2022,2,4,5
1183,07-03-2023,4,5,5
1184,03-10-2022,1,3,1
1185,13-08-2022,1,2,4
1186,12-05-2023,3,3,5
1187,19-11-2022,4,1,1
1188,16-07-2023,4,1,1
1189,19-07-2023,5,5,3
1190,07-04-2023,2,5,3
1191,13-07-2023,4,4,4
1192,24-12-2022,3,1,1
1193,15-08-2022,5,2,3
1194,04-12-2022,5,4,2
1195,30-01-2023,5,3,2
1196,02-06-2023,4,5,4
1197,09-11-2022,3,5,4
1198,12-12-2022,3,2,2
1199,27-06-2023,3,3,3
1200,19-04-2023,4,5,1
1201,23-02-2023,2,4,4
1202,14-08-2022,1,3,2
1203,03-10-2022,3,5,3
1204,22-06-2023,1,4,3
1205,07-04-2023,2,1,2
1206,17-10-2022,3,4,2
1207,06-08-2022,2,1,2
1208,18-08-2022,5,1,5
1209,28-05-2023,1,3,1
1210,24-10-2022,4,5,1
1211,16-03-2023,3,3,1
1212,31-01-2023,4,5,4
1213,28-09-2022,1,2,4
1214,02-06-2023,1,5,3
1215,25-10-2022,2,1,5
1216,09-09-2022,4,1,1
1217,23-08-2022,5,5,1
1218,27-02-2023,2,3,1
1219,17-07-2023,2,2,2
1220,08-05-2023,5,2,4
1221,17-08-2022,5,5,3
1222,31-03-2023,5,2,1
1223,07-05-2023,4,1,4
1224,20-05-2023,4,2,3
1225,05-11-2022,1,2,4
1226,04-04-2023,4,5,4
1227,12-12-2022,1,2,2
1228,21-01-2023,2,5,3
1229,20-05-2023,4,2,5
1230,30-11-2022,5,4,4
1231,13-03-2023,2,2,1
1232,22-08-2022,2,1,5
1233,01-05-2023,5,5,3
1234,11-12-2022,4,1,5
1235,23-03-2023,5,5,3
1236,25-07-2023,1,4,1
1237,11-07-2023,4,3,1
1238,29-12-2022,1,3,3
1239,07-10-2022,4,5,5
1240,02-08-2023,1,4,3
1241,16-01-2023,4,4,3
1242,28-07-2023,4,4,1
1243,04-05-2023,5,2,3
1244,17-08-2022,2,3,5
1245,23-09-2022,3,5,5
1246,12-01-2023,4,3,2
1247,13-11-2022,2,4,5
1248,05-12-2022,5,3,2
1249,22-12-2022,2,4,2
1250,26-04-2023,4,5,1
1251,03-12-2022,5,5,3
1252,10-06-2023,2,3,2
1253,10-01-2023,2,4,2
1254,18-06-2023,3,1,5
1255,03-11-2022,3,1,1
1256,24-10-2022,4,4,2
1257,19-07-2023,2,1,1
1258,16-04-2023,3,5,4
1259,17-10-2022,1,3,4
1260,21-02-2023,5,2,5
1261,13-07-2023,2,5,4
1262,16-12-2022,3,4,1
1263,24-01-2023,4,5,3
1264,21-04-2023,3,5,4
1265,28-06-2023,4,2,5
1266,29-03-2023,1,3,1
1267,25-04-2023,4,1,5
1268,18-04-2023,2,1,2
1269,19-09-2022,1,2,4
1270,16-03-2023,5,5,1
1271,13-01-2023,3,1,5
1272,31-10-2022,4,2,3
1273,26-02-2023,1,4,2
1274,19-03-2023,2,1,5
1275,19-08-2022,2,5,3
1276,01-06-2023,1,4,5
1277,01-08-2023,4,3,3
1278,28-05-2023,2,4,5
1279,11-10-2022,3,3,5
1280,12-11-2022,3,2,2
1281,31-05-2023,4,2,1
1282,04-10-2022,3,3,1
1283,19-11-2022,2,1,2
1284,24-11-2022,5,1,5
1285,05-07-2023,3,2,2
1286,13-04-2023,1,5,1
1287,30-07-2023,3,5,2
1288,15-07-2023,2,4,5
1289,09-05-2023,5,3,1
1290,12-04-2023,5,4,2
1291,24-05-2023,5,4,5
1292,21-03-2023,1,4,3
1293,15-03-2023,2,3,2
1294,03-08-2023,5,4,2
1295,18-02-2023,3,3,3
1296,07-02-2023,1,1,5
1297,10-08-2022,2,4,4
1298,06-12-2022,1,2,1
1299,02-07-2023,1,2,2
1300,07-10-2022,1,3,1
1301,21-01-2023,1,4,2
1302,04-06-2023,1,2,4
1303,01-01-2023,5,3,5
1304,11-04-2023,3,5,1
1305,22-02-2023,2,5,2
1306,12-11-2022,1,3,5
1307,18-11-2022,1,5,1
1308,28-08-2022,4,5,2
1309,07-09-2022,1,1,3
1310,24-04-2023,3,4,3
1311,09-03-2023,5,2,3
1312,25-09-2022,2,5,2
1313,18-07-2023,5,4,1
1314,28-03-2023,5,5,3
1315,29-11-2022,5,1,1
1316,20-07-2023,3,4,3
1317,05-05-2023,4,2,2
1318,21-05-2023,5,4,2
1319,14-06-2023,4,2,5
1320,12-01-2023,5,1,5
1321,30-04-2023,1,5,5
1322,17-01-2023,1,5,2
1323,02-05-2023,5,1,5
1324,16-11-2022,5,3,3
1325,17-12-2022,1,5,3
1326,04-03-2023,5,3,1
1327,23-03-2023,5,3,4
1328,07-11-2022,1,4,3
1329,23-05-2023,3,2,5
1330,25-09-2022,3,5,2
1331,16-05-2023,3,2,5
1332,13-04-2023,1,2,5
1333,29-01-2023,3,4,5
1334,21-12-2022,1,3,1
1335,09-10-2022,4,5,5
1336,09-03-2023,5,1,4
1337,01-11-2022,3,3,4
1338,20-10-2022,1,1,1
1339,02-12-2022,1,3,2
1340,28-05-2023,5,4,4
1341,15-05-2023,1,3,4
1342,20-12-2022,3,2,2
1343,07-09-2022,1,2,3
1344,23-08-2022,1,4,5
1345,28-08-2022,2,4,4
1346,28-04-2023,4,2,3
1347,28-02-2023,4,3,1
1348,01-11-2022,2,2,4
1349,21-04-2023,1,2,3
1350,05-03-2023,3,4,5
1351,18-01-2023,4,1,5
1352,03-06-2023,4,2,1
1353,11-10-2022,5,1,5
1354,21-06-2023,4,4,2
1355,28-01-2023,2,2,3
1356,14-08-2022,1,1,1
1357,30-01-2023,1,4,3
1358,25-02-2023,1,2,5
1359,09-01-2023,4,5,1
1360,31-03-2023,5,2,1
1361,30-03-2023,1,3,2
1362,11-01-2023,5,2,5
1363,19-06-2023,5,2,2
1364,03-05-2023,2,2,4
1365,08-10-2022,5,1,2
1366,17-08-2022,1,4,2
1367,20-07-2023,1,4,3
1368,04-10-2022,2,2,2
1369,08-03-2023,2,4,3
1370,19-07-2023,1,2,1
1371,19-05-2023,1,1,2
1372,30-07-2023,3,1,4
1373,12-06-2023,1,2,5
1374,08-02-2023,5,5,4
1375,28-09-2022,1,3,2
1376,12-06-2023,4,3,5
1377,05-03-2023,5,5,4
1378,03-02-2023,1,4,5
1379,28-02-2023,5,2,5
1380,27-12-2022,1,1,2
1381,10-07-2023,2,2,1
1382,30-11-2022,2,1,1
1383,02-09-2022,4,1,5
1384,05-05-2023,2,3,4
1385,11-09-2022,3,1,3
1386,18-03-2023,2,4,5
1387,29-03-2023,5,1,2
1388,15-07-2023,5,2,4
1389,25-02-2023,4,4,3
1390,23-01-2023,2,3,4
1391,11-08-2022,4,1,1
1392,19-09-2022,4,4,3
1393,17-06-2023,4,4,4
1394,07-07-2023,1,2,2
1395,31-05-2023,4,1,2
1396,07-07-2023,2,1,3
1397,31-03-2023,3,2,3
1398,07-04-2023,1,1,1
1399,07-03-2023,1,4,4
1400,17-05-2023,2,3,3
1401,04-11-2022,2,5,3
1402,13-07-2023,2,4,4
1403,25-12-2022,1,3,2
1404,18-02-2023,1,2,2
1405,29-04-2023,3,3,3
1406,15-05-2023,4,1,5
1407,16-02-2023,3,3,1
1408,07-06-2023,3,3,3
1409,17-05-2023,2,2,1
1410,02-04-2023,2,2,4
1411,25-06-2023,5,4,5
1412,16-06-2023,4,3,5
1413,31-10-2022,4,3,2
1414,13-08-2022,1,4,4
1415,16-09-2022,2,2,1
1416,11-05-2023,5,4,3
1417,31-12-2022,3,5,2
1418,25-11-2022,2,1,3
1419,11-02-2023,4,2,1
1420,12-06-2023,1,2,4
1421,03-09-2022,3,5,5
1422,10-04-2023,1,5,2
1423,23-03-2023,2,5,5
1424,03-09-2022,4,4,5
1425,06-09-2022,2,3,1
1426,11-07-2023,4,5,5
1427,09-02-2023,1,2,3
1428,04-06-2023,3,5,2
1429,23-03-2023,1,4,3
1430,15-09-2022,2,2,2
1431,28-10-2022,2,1,1
1432,13-10-2022,4,3,4
1433,06-08-2022,5,1,3
1434,21-10-2022,1,2,3
1435,23-03-2023,4,2,3
1436,09-07-2023,1,2,2
1437,06-01-2023,4,5,5
1438,21-01-2023,1,4,1
1439,29-11-2022,3,1,3
1440,02-11-2022,3,1,4
1441,07-04-2023,1,1,5
1442,11-01-2023,2,4,2
1443,12-06-2023,5,2,3
1444,21-12-2022,5,5,3
1445,17-11-2022,2,2,4
1446,15-06-2023,1,1,5
1447,17-08-2022,4,4,1
1448,23-10-2022,1,1,3
1449,11-08-2022,4,2,2
1450,22-04-2023,5,1,2
1451,27-12-2022,4,3,4
1452,14-08-2022,4,4,5
1453,12-09-2022,1,5,1
1454,28-07-2023,2,2,1
1455,04-07-2023,2,2,4
1456,31-08-2022,2,1,5
1457,02-07-2023,2,1,1
1458,06-02-2023,2,2,4
1459,10-09-2022,5,2,5
1460,23-02-2023,2,3,1
1461,09-04-2023,1,1,2
1462,31-08-2022,4,5,5
1463,13-03-2023,5,4,5
1464,04-07-2023,2,5,1
1465,02-06-2023,1,1,3
1466,05-12-2022,1,4,5
1467,13-08-2022,3,4,2
1468,21-04-2023,3,1,3
1469,23-02-2023,4,2,4
1470,21-03-2023,1,4,1
1471,23-12-2022,3,4,2
1472,02-09-2022,2,4,1
1473,11-12-2022,5,2,1
1474,22-09-2022,2,1,3
1475,25-07-2023,2,3,3
1476,21-12-2022,1,4,1
1477,24-02-2023,5,5,3
